cap,trial,framework,calls_admitted,calls_refused,total_billed_uc,overshoot,refusal_point,exception,notes
20000,20,token_budgets,1,0,3,0,completed_within_budget,,
20000,20,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
20000,21,token_budgets,1,0,3,0,completed_within_budget,,
20000,21,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
20000,22,token_budgets,1,0,3,0,completed_within_budget,,
20000,22,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
20000,23,token_budgets,1,0,3,0,completed_within_budget,,
20000,23,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
20000,24,token_budgets,1,0,3,0,completed_within_budget,,
20000,24,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
20000,25,token_budgets,1,0,3,0,completed_within_budget,,
20000,25,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
20000,26,token_budgets,1,0,3,0,completed_within_budget,,
20000,26,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
20000,27,token_budgets,1,0,3,0,completed_within_budget,,
20000,27,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
20000,28,token_budgets,1,0,3,0,completed_within_budget,,
20000,28,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
20000,29,token_budgets,1,0,3,0,completed_within_budget,,
20000,29,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
20000,30,token_budgets,1,0,3,0,completed_within_budget,,
20000,30,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
